family	gene	coordinates
bZIP_1	TTHERM_00194160	366026-368041
bZIP_1	TTHERM_01009930	74893-76123
bZIP_1	TTHERM_000283289	451290-452051
bZIP_1	TTHERM_00444640	196080-201241
C1_1	TTHERM_00881480	192104-194412
C1_1	TTHERM_01309130	24177-33293
C1_1	TTHERM_00399200	73879-75195
C1_1	TTHERM_00256950	741527-745278
C1_1	TTHERM_00891220	92332-92734
C1_1	TTHERM_00241840	511069-513485
C1_1	TTHERM_00316860	351628-353523
C1_1	TTHERM_00220750	717405-719045
C1_1	TTHERM_01313370	1269-4197
C1_1	TTHERM_00833720	173677-176173
C1_1	TTHERM_00675550	209254-211183
C1_1	TTHERM_00218470	257904-264124
C1_1	TTHERM_00985230	120018-123032
C1_1	TTHERM_00582100	249183-250699
C1_1	TTHERM_00925580	90628-91399
C1_1	TTHERM_00467280	144486-148586
C1_1	TTHERM_00326870	108020-108659
C1_1	TTHERM_00633040	95371-99191
C1_1	TTHERM_000925319	441-1630
C1_1	TTHERM_001198169	254-623
C1_1	TTHERM_000081109	1222021-1222879
C1_1	TTHERM_000399700	218754-219075
C1_1	TTHERM_00049310	994930-1002763
C1_1	TTHERM_00768560	20675-24229
C1_1	TTHERM_00411710	442392-442710
C1_1	TTHERM_00249530	1222-2131
C1_1	TTHERM_01145010	79640-82751
C1_1	TTHERM_01139330	44092-45566
C2	TTHERM_00444760	244582-245863
C2	TTHERM_00440610	41528-47344
C2	TTHERM_00823910	153149-159518
C2	TTHERM_00440610	41528-47344
C2	TTHERM_00886960	790244-798457
C2	TTHERM_00120890	1114703-1118515
C2	TTHERM_00455560	164354-164639
C2	TTHERM_00683300	282712-284161
C2	TTHERM_00884590	644133-647057
C2	TTHERM_00564090	85917-87446
C2	TTHERM_00277490	129569-131900
C2	TTHERM_01228910	5656-8059
C2	TTHERM_00450980	475349-485821
C2	TTHERM_000827129	142918-145115
C2	TTHERM_00079270	916593-918181
C2	TTHERM_00225850	288110-290112
C2	TTHERM_00274530	602112-603876
C2	TTHERM_00317320	510159-514645
C2	TTHERM_00274500	595169-596060
C2	TTHERM_00225860	291896-292957
C2	TTHERM_000471019	216553-217617
C2	TTHERM_00239140	269842-272504
C2	TTHERM_00047710	786285-787719
C2	TTHERM_00238850	173063-175872
C2	TTHERM_00225840	285518-286329
C2	TTHERM_00274530	602112-603876
C2	TTHERM_00497990	428120-428702
C2	TTHERM_00486460	286448-287348
C2	TTHERM_00028650	456784-459538
C2	TTHERM_00443020	500367-504173
C2	TTHERM_00471630	377333-380244
C2	TTHERM_000837801	107624-108065
C2	TTHERM_00353370	65096-68516
C2	TTHERM_00193200	12370-14706
C2	TTHERM_00562810	418481-421868
C2	TTHERM_00243990	106020-107805
C2	TTHERM_00274560	609915-611523
C2	TTHERM_00274570	612337-613924
C2	TTHERM_00274550	607182-608766
C2	TTHERM_00444490	133753-137334
C2	TTHERM_00502340	359504-362033
C2	TTHERM_00655270	477-6850
CAF-1_p150	TTHERM_00035290	1156934-1158053
CAF-1_p150	TTHERM_00322920	421748-422476
CAF1A	TTHERM_00309880	326146-334106
CAF1A	TTHERM_00732550	117585-120996
CAF1C_H4-bd	TTHERM_00688650	155649-159907
CAF1C_H4-bd	TTHERM_000709589	236925-239314
CAF1C_H4-bd	TTHERM_00467910	343061-345355
CAF1C_H4-bd	TTHERM_00821890	60627-62952
CBFD_NFYB_HMF	TTHERM_01194650	8325-9103
CBFD_NFYB_HMF	TTHERM_00852840	167321-169144
CBFD_NFYB_HMF	TTHERM_00474790	298376-299157
CBFD_NFYB_HMF	TTHERM_00292070	703311-704542
CBFD_NFYB_HMF	TTHERM_00446569	545219-545792
CBFD_NFYB_HMF	TTHERM_00283170	407661-409838
CBFD_NFYB_HMF	TTHERM_00633360	209224-209593
CBFD_NFYB_HMF	TTHERM_00316500	232429-232831
CBFD_NFYB_HMF	TTHERM_00189160	322973-324414
CBFD_NFYB_HMF	TTHERM_00498190	487791-488103
CBFD_NFYB_HMF	TTHERM_00790790	165495-165912
CBFD_NFYB_HMF	TTHERM_00146340	1014492-1015056
CBFD_NFYB_HMF	TTHERM_01079200	61805-63383
CBFD_NFYB_HMF	TTHERM_01211790	37066-37578
CBFD_NFYB_HMF	TTHERM_00649420	321286-323600
CBFD_NFYB_HMF	TTHERM_00143650	371847-372030
CBFD_NFYB_HMF	TTHERM_00190760	547626-548694
CBS	TTHERM_00347920	635923-638102
CBS	TTHERM_00695820	215062-218244
CBS	TTHERM_00486800	376102-377607
CBS	TTHERM_00678180	153942-156517
Cdc6_C	TTHERM_00441870	67347-69460
Cdc6_C	TTHERM_00726200	177891-180474
Cdc6_C	TTHERM_000287919	278734-279085
CDC73_C	TTHERM_00760490	121157-122720
CDC73_C	TTHERM_00138600	62327-73842
CDC73_C	TTHERM_01034430	109761-111958
CDC73_C	TTHERM_01052860	43337-46903
CENP-C_C	TTHERM_00684720	143180-145100
CENP-C_C	TTHERM_000324193	542802-543409
CENP-C_C	TTHERM_000438818	323609-328037
CHDCT2	TTHERM_00825270	78492-81501
CHDCT2	TTHERM_00584910	167506-169702
CHDCT2	TTHERM_00933080	74848-84436
CHDCT2	TTHERM_00193760	222747-226680
CHDII_SANT-like	TTHERM_00049310	994930-1002763
CHDII_SANT-like	TTHERM_00248350	772318-774525
CHDNT	TTHERM_00257230	827749-828736
Chromo	TTHERM_00193800	242886-250970
Chromo	TTHERM_00125280	999357-1001125
Chromo	TTHERM_00140850	52474-55102
Chromo	TTHERM_01337400	28811-31295
Chromo	TTHERM_001109990	98033-98743
Chromo	TTHERM_00565610	279929-285709
Chromo	TTHERM_00705239	76641-77145
Chromo	TTHERM_00822220	188804-192971
Chromo	TTHERM_00245410	303876-305056
Chromo	TTHERM_00551070	171489-172948
Chromo	TTHERM_00049310	994930-1002763
Chromo	TTHERM_00585180	270779-271890
Chromo	TTHERM_00046589	364650-367866
Chromo	TTHERM_00585190	272260-273457
Chromo	TTHERM_00086720	633808-635433
Chromo_shadow	TTHERM_00046589	364650-367866
Chromo_shadow	TTHERM_00705239	76641-77145
Chromo_shadow	TTHERM_00245410	303876-305056
Chromo_shadow	TTHERM_00551070	171489-172948
Chromo_shadow	TTHERM_01337400	28811-31295
Chromo_shadow	TTHERM_00086720	633808-635433
CHZ	TTHERM_00283330	475298-479438
Cir_N	TTHERM_00408960	130281-131595
Cir_N	TTHERM_01164100	31844-33274
CNH	TTHERM_000777289	187839-191549
CNH	TTHERM_01141590	321390-325533
CNH	TTHERM_00621160	170311-173029
CNH	TTHERM_00670690	226686-227982
CNH	TTHERM_00647070	118529-122716
CNH	TTHERM_00013640	1525612-1528057
CNH	TTHERM_00749020	254938-256233
CNH	TTHERM_00024050	2061991-2067841
CNH	TTHERM_00530129	246272-246814
Cohesin_HEAT	TTHERM_00334390	66787-67513
Cohesin_HEAT	TTHERM_00527090	362870-367334
Cohesin_HEAT	TTHERM_00038840	1806544-1807402
Cohesin_HEAT	TTHERM_01123960	57028-59860
CpG_bind_C	TTHERM_01276400	25815-26808
CpG_bind_C	TTHERM_00485740	639-2697
CPSF_A	TTHERM_00530280	308874-310131
CPSF_A	TTHERM_00647070	118529-122716
CPSF_A	TTHERM_00577340	20983-22263
CPSF_A	TTHERM_00433690	754257-756026
Cullin	TTHERM_00089230	400358-402650
Cullin	TTHERM_00790540	49775-53099
Cullin	TTHERM_00083300	1158572-1162258
Cullin	TTHERM_00131200	1031596-1034593
Cullin	TTHERM_00088090	454717-455977
Cullin	TTHERM_00856520	134602-138362
Cullin	TTHERM_00930810	45974-49317
Cullin	TTHERM_00058690	1034252-1037852
Cullin	TTHERM_00825120	25833-29170
Cullin_Nedd8	TTHERM_00083300	1158572-1162258
Cullin_Nedd8	TTHERM_00131200	1031596-1034593
Cullin_Nedd8	TTHERM_00088090	454717-455977
Cullin_Nedd8	TTHERM_00856520	134602-138362
Cullin_Nedd8	TTHERM_00930810	45974-49317
Cullin_Nedd8	TTHERM_00790540	49775-53099
Cullin_Nedd8	TTHERM_00089230	400358-402650
Cullin_Nedd8	TTHERM_00058690	1034252-1037852
Cullin_Nedd8	TTHERM_00383640	606903-609652
Cullin_Nedd8	TTHERM_00629890	323845-324250
Cupin_8	TTHERM_00460660	79683-86591
Cupin_8	TTHERM_00094180	52080-53383
Cupin_8	TTHERM_00780530	194097-195952
Cupin_8	TTHERM_00101310	423177-424745
Cupin_8	TTHERM_00649350	291157-292588
DBINO	TTHERM_00343560	108895-109731
dCMP_cyt_deam_1	TTHERM_00498180	485508-486893
dCMP_cyt_deam_1	TTHERM_000218898	412253-414437
dCMP_cyt_deam_1	TTHERM_00389850	466608-467300
dCMP_cyt_deam_1	TTHERM_00564260	144454-145471
dCMP_cyt_deam_1	TTHERM_00170240	193110-194832
DDE_1	TTHERM_00630150	217358-228695
DDT	TTHERM_00766430	224144-225567
DDT	TTHERM_000484730	525669-526518
DEAD	TTHERM_00190830	571191-574692
DEAD	TTHERM_00449630	354784-357808
DEAD	TTHERM_00302050	728104-728947
DEAD	TTHERM_00569290	1038130-1041900
DEAD	TTHERM_00187140	931680-934071
DEAD	TTHERM_00420410	280390-282641
DEAD	TTHERM_01034400	95042-104759
DEAD	TTHERM_00220750	717405-719045
DEAD	TTHERM_00295100	447865-450981
DEAD	TTHERM_00095530	70096-72082
DEAD	TTHERM_00219180	511466-514618
DEAD	TTHERM_00105060	757495-759987
DEAD	TTHERM_00497140	134104-136716
DEAD	TTHERM_01197120	59097-61210
DEAD	TTHERM_00522650	329286-331380
DEAD	TTHERM_00991610	143290-146775
DEAD	TTHERM_00923120	103766-106254
DEAD	TTHERM_00036980	1430690-1432383
DEAD	TTHERM_00316680	319179-321584
DEAD	TTHERM_00683160	241310-243779
DEAD	TTHERM_00455140	11673-14089
DEAD	TTHERM_00469380	525547-528578
DEAD	TTHERM_00700870	116404-118937
DEAD	TTHERM_00131240	1020470-1023200
DEAD	TTHERM_00371290	327367-329652
DEAD	TTHERM_00485980	83974-86181
DEAD	TTHERM_01126400	18724-20083
DEAD	TTHERM_00316180	105840-109850
DEAD	TTHERM_00628550	109899-114994
DEAD	TTHERM_01030000	100593-104683
DEAD	TTHERM_00628560	103688-108859
DEAD	TTHERM_01205230	26-4081
DEAD	TTHERM_00628520	128298-133434
DEAD	TTHERM_00392950	351719-353201
DEAD	TTHERM_00112510	557902-560587
DEAD	TTHERM_00991550	115840-122146
DEAD	TTHERM_00196310	800437-800953
DEAD	TTHERM_00586820	98455-102394
DEAD	TTHERM_00088150	430780-437842
DEAD	TTHERM_00372510	261750-263834
DEAD	TTHERM_00684490	22899-26183
DEAD	TTHERM_00313280	518548-523155
DEAD	TTHERM_00586851	106867-109705
DEAD	TTHERM_01044780	122909-125849
DEAD	TTHERM_00441760	30687-33906
DEAD	TTHERM_00444320	62816-71060
DEAD	TTHERM_00316189	110584-117477
DEAD	TTHERM_00120930	1130952-1133806
DEAD	TTHERM_00146330	1010080-1013749
DEAD	TTHERM_00419730	30230-33026
DEAD	TTHERM_00030090	653986-657760
DEAD	TTHERM_00420480	312174-316085
DEAD	TTHERM_00193800	242886-250970
DEAD	TTHERM_000426209	404885-405914
DEAD	TTHERM_00411590	384378-388161
DEAD	TTHERM_00579150	264389-266638
DEAD	TTHERM_000095401	22648-25784
DEAD	TTHERM_00726300	216318-220640
DEAD	TTHERM_00239430	387151-388174
DEAD	TTHERM_00588880	129512-134501
DEAD	TTHERM_01083000	72015-73734
DEAD	TTHERM_01197160	69279-70374
DEAD	TTHERM_00688780	202705-207458
DEAD	TTHERM_00490530	187920-191431
DEAD	TTHERM_00095380	15758-19087
DEAD	TTHERM_00298320	58444-67232
DEAD	TTHERM_00245150	175594-177412
DEAD	TTHERM_00320020	57856-68214
DEAD	TTHERM_00083790	994060-998319
DEAD	TTHERM_00685900	192965-197174
DEAD	TTHERM_00070740	175705-176539
DEAD	TTHERM_000227309	481170-482106
DEAD	TTHERM_00888060	23496-26622
DEAD	TTHERM_01151450	21432-25643
DEAD	TTHERM_00136010	719292-720105
DEAD	TTHERM_00316400	202941-204393
DEAD	TTHERM_00237490	67807-71568
DEAD	TTHERM_000298261	22659-25187
DEAD	TTHERM_00160950	312379-316511
DEAD	TTHERM_00529620	50827-53326
DEAD	TTHERM_00346400	457167-461709
DEAD	TTHERM_00219260	540374-542951
DEAD	TTHERM_00818430	111978-114502
DEAD	TTHERM_00298300	46621-54530
DEAD	TTHERM_00266600	173691-181455
DEAD	TTHERM_00241930	554033-557497
DEAD	TTHERM_00732610	141927-146873
DEAD	TTHERM_00541510	449008-450409
DEAD	TTHERM_000541499	453306-454411
DEAD	TTHERM_00489530	179616-179977
DEAD	TTHERM_00630510	135509-138638
DEAD	TTHERM_000525180	53281-54343
DEAD	TTHERM_00241920	547984-551314
DEAD	TTHERM_00213600	806675-808284
DEAD	TTHERM_000257098	785656-787174
DEAD	TTHERM_00531870	25162-41543
DEAD	TTHERM_00630580	95870-102055
DEAD	TTHERM_00725930	90829-93502
DEAD	TTHERM_00630560	110484-115338
DEAD	TTHERM_00313120	440786-445886
DEAD	TTHERM_00594090	145527-150393
DEAD	TTHERM_00433800	709510-725084
DEAD	TTHERM_000790459	2813-12077
DEAD	TTHERM_00561570	333361-337639
DEAD	TTHERM_00780750	108107-109321
DEAD	TTHERM_00095370	10579-13913
DEAD	TTHERM_00265150	806383-811888
DEAD	TTHERM_01276420	33242-48318
DEAD	TTHERM_00785870	33340-33808
DEAD	TTHERM_00346700	578593-587797
DEAD	TTHERM_00344080	296673-301284
DEAD	TTHERM_00912230	71456-72770
DEAD	TTHERM_01376880	1529-4476
DEAD	TTHERM_00372609	216703-221616
DEAD	TTHERM_00283150	396253-398380
DEAD	TTHERM_00964340	62781-67843
DEK_C	TTHERM_00013100	1310483-1311778
DEK_C	TTHERM_00833780	190448-192404
DEK_C	TTHERM_00695750	231612-232689
DMAP1	TTHERM_00357110	1813200-1814914
DMAP_binding	TTHERM_000666599	179860-180296
DMAP_binding	TTHERM_001591559	1448-3650
DMAP_binding	TTHERM_00112780	665447-665993
DnaJ	TTHERM_00426310	456514-457701
DnaJ	TTHERM_00255630	559516-561434
DnaJ	TTHERM_00421140	558219-560273
DnaJ	TTHERM_01013150	34850-36011
DnaJ	TTHERM_00554350	320237-321878
DnaJ	TTHERM_00348840	282665-283832
DnaJ	TTHERM_00195890	653329-654889
DnaJ	TTHERM_00440430	118339-120016
DnaJ	TTHERM_00094150	68754-70125
DnaJ	TTHERM_000490669	245903-248295
DnaJ	TTHERM_00691130	7527-8426
DnaJ	TTHERM_00877060	45868-46768
DnaJ	TTHERM_00938740	2234-3662
DnaJ	TTHERM_00318820	691841-693795
DnaJ	TTHERM_00572130	743003-743944
DnaJ	TTHERM_00974150	94287-96550
DnaJ	TTHERM_00101330	440089-441723
DnaJ	TTHERM_00658920	279462-282572
DnaJ	TTHERM_00437670	387212-389302
DnaJ	TTHERM_00105470	910144-910741
DnaJ	TTHERM_00237330	23048-24119
DnaJ	TTHERM_00865280	44555-48532
DnaJ	TTHERM_00456970	315324-317123
DnaJ	TTHERM_00637689	303660-304858
DnaJ	TTHERM_000709589	236925-239314
DnaJ	TTHERM_00471260	271896-273563
DnaJ	TTHERM_00443010	497242-499688
DnaJ	TTHERM_00077120	442051-443194
DnaJ	TTHERM_00391310	569802-570405
DnaJ	TTHERM_00037400	1612805-1614074
DnaJ	TTHERM_00494790	477318-478185
DnaJ	TTHERM_00238810	165017-166599
DnaJ	TTHERM_00777020	83809-84394
DnaJ	TTHERM_00361510	117975-118974
DnaJ	TTHERM_00758870	102975-103549
DnaJ	TTHERM_00919620	83269-86010
DnaJ	TTHERM_00965360	80363-83407
DnaJ	TTHERM_00535500	118717-120217
DnaJ	TTHERM_00784290	776754-777940
DnaJ	TTHERM_00656050	295503-296869
DnaJ	TTHERM_000081109	1222021-1222879
DnaJ	TTHERM_00013100	1310483-1311778
DnaJ	TTHERM_00085050	897353-898241
DnaJ	TTHERM_00656040	294155-294609
DnaJ	TTHERM_01194940	68258-70379
DnaJ	TTHERM_00312970	389423-389759
DnaJ	TTHERM_00107040	1121173-1124964
DnaJ	TTHERM_00343560	108895-109731
DnaJ	TTHERM_00775920	50553-52372
DnaJ	TTHERM_00318710	649657-650585
DnaJ	TTHERM_00532500	250304-251478
DnaJ	TTHERM_00252270	289848-290874
DNAPKcs_CC3	TTHERM_000203009	547949-549236
DNAPKcs_CC3	TTHERM_00780530	194097-195952
DNA_gyraseB	TTHERM_00456740	239487-243308
DNA_gyraseB	TTHERM_00825440	138579-143669
DNA_gyraseB	TTHERM_01335310	26164-31443
DNA_pol_phi	TTHERM_00471929	493647-495698
DNA_pol_phi	TTHERM_01100430	46543-50230
DNA_pol_phi	TTHERM_002653448	250-637
DNA_pol_phi	TTHERM_00803660	180493-182795
DNA_pol_phi	TTHERM_00011400	1024053-1025385
DNA_pol_phi	TTHERM_00974280	107477-108457
DNA_pol_phi	TTHERM_00267890	302603-307298
DNA_pol_phi	TTHERM_00393270	267053-269454
DNA_topoisoIV	TTHERM_00456740	239487-243308
DNA_topoisoIV	TTHERM_00825440	138579-143669
DNA_topoisoIV	TTHERM_00486930	414950-420918
DND1_DSRM	TTHERM_00564010	62019-66385
DND1_DSRM	TTHERM_00340210	651771-653934
DOT1	TTHERM_00895790	78707-79774
DOT1	TTHERM_01337330	811-2960
DOT1	TTHERM_000891310	116018-117366
DOT1	TTHERM_00621400	276101-277201
DOT1	TTHERM_00437560	430031-432510
DOT1	TTHERM_01573200	14-5660
DOT1	TTHERM_00865060	110746-111533
DOT1	TTHERM_01243500	45853-49543
DOT1	TTHERM_001412049	11501-16870
DOT1	TTHERM_001387102	27186-29204
DOT1	TTHERM_000891310	116018-117366
DOT1	TTHERM_000989381	46341-49260
DOT1	TTHERM_00949690	10131-15741
DOT1	TTHERM_001102697	60173-71340
DOT1	TTHERM_00854320	55852-56336
DOT1	TTHERM_000796732	43685-44501
DOT1	TTHERM_002653417	1544-3801
DOT1	TTHERM_01119580	91740-93610
DOT1	TTHERM_00625950	371901-373111
DOT1	TTHERM_01453050	3357-8943
DOT1	TTHERM_002653407	166-659
DOT1	TTHERM_000187089	898406-906003
DOT1	TTHERM_00745780	117338-125548
DOT1	TTHERM_001277501	26584-26917
DOT1	TTHERM_00903900	120436-120922
DOT1	TTHERM_00836720	66661-70848
DOT1	TTHERM_01394380	25035-25348
DOT1	TTHERM_001023110	104482-111639
DOT1	TTHERM_000466140	94024-94718
DOT1	TTHERM_001188430	38152-44593
DOT1	TTHERM_00809270	170895-173826
DOT1	TTHERM_00964320	54979-61700
DOT1	TTHERM_001574229	5558-9109
DOT1	TTHERM_001031142	30621-34172
DOT1	TTHERM_002653468	619-3808
DOT1	TTHERM_000734161	111956-116681
DOT1	TTHERM_001220318	984-9809
DOT1	TTHERM_00831530	92787-94755
DOT1	TTHERM_00746900	184996-186331
DOT1	TTHERM_000835489	188829-194615
DOT1	TTHERM_002653478	5582-11805
DOT1	TTHERM_01384020	11647-16160
DOT1	TTHERM_00341280	7151-11193
DP	TTHERM_00016410	1835998-1841779
Dpy-30	TTHERM_000578999	201346-201996
Dpy-30	TTHERM_00558060	155682-159228
Dpy-30	TTHERM_000158389	536434-537855
Dpy-30	TTHERM_000569069	1092713-1096065
Dpy-30	TTHERM_00474460	198742-201009
Dpy-30	TTHERM_00082260	1182112-1182475
Dpy-30	TTHERM_00564090	85917-87446
Dpy-30	TTHERM_000526679	232423-234906
Dpy-30	TTHERM_00394420	222723-223547
Dpy-30	TTHERM_00011880	1216896-1217520
Dpy-30	TTHERM_00473030	7098-9376
Dpy-30	TTHERM_000837801	107624-108065
Dpy-30	TTHERM_00205180	633957-637193
DRY_EERY	TTHERM_00083340	1135794-1141187
DRY_EERY	TTHERM_00569460	985922-986686
DRY_EERY	TTHERM_00474990	383468-384725
dsrm	TTHERM_00825510	163921-166968
dsrm	TTHERM_00078870	752050-754637
dsrm	TTHERM_00756090	158611-160018
dsrm	TTHERM_00571780	865701-871496
DTHCT	TTHERM_00384800	51697-53673
DUF1087	TTHERM_00049310	994930-1002763
DUF1087	TTHERM_00353530	7609-11264
DUF3452	TTHERM_00439030	249258-253369
DUF3452	TTHERM_00600640	316898-317396
DUF3452	TTHERM_00094080	94701-95780
DUF3452	TTHERM_00348190	517954-518605
DUF3452	TTHERM_00643560	287026-288017
DUF3452	TTHERM_00245200	196115-198082
DUF3504	TTHERM_00335840	226674-228150
DUF3512	TTHERM_001147151	50358-53885
DUF3512	TTHERM_00721580	162577-166428
DUF3591	TTHERM_00193220	18688-24868
DUF3736	TTHERM_00858110	96178-97709
DUF3776	TTHERM_002653517	285-606
DUF908	TTHERM_00548120	189272-190232
DUF913	TTHERM_00439300	145705-146920
DUF913	TTHERM_00338370	379958-380849
DUF913	TTHERM_00974280	107477-108457
DUF913	TTHERM_01499890	311-1034
DUF913	TTHERM_01499930	9037-9730
DUF913	TTHERM_00865130	88097-89538
DUF913	TTHERM_01052970	79293-79962
DUF913	TTHERM_01123970	63505-64456
DUF913	TTHERM_01499910	3868-4600
DUF913	TTHERM_00491290	509562-511647
DUF913	TTHERM_000355869	1720077-1720608
DUF913	TTHERM_00059450	780683-781850
DUF913	TTHERM_01028750	3829-5336
DUSP	TTHERM_00825230	57894-61838
DUSP	TTHERM_00077370	536132-540588
DUSP	TTHERM_00773500	149868-150562
DUSP	TTHERM_00459288	448829-452084
DUSP	TTHERM_00312010	35556-39058
DUSP	TTHERM_00048860	839848-843672
DUSP	TTHERM_00047690	777495-778738
DUSP	TTHERM_00338180	325061-329400
DUSP	TTHERM_00079880	1131324-1136777
DUSP	TTHERM_00188870	198359-199139
DUSP	TTHERM_00492990	254238-257531
E2F_TDP	TTHERM_00721610	180026-183643
E2F_TDP	TTHERM_01076950	80380-83723
E2F_TDP	TTHERM_01099150	62248-64001
E2F_TDP	TTHERM_00695710	240502-241524
E2F_TDP	TTHERM_00106990	1102463-1102949
E2F_TDP	TTHERM_00047010	525272-528154
E2F_TDP	TTHERM_00016410	1835998-1841779
E2F_TDP	TTHERM_00646860	45500-47196
E2F_TDP	TTHERM_00436250	540579-543151
E3_UbLigase_EDD	TTHERM_00659120	346406-348830
Eaf7	TTHERM_00196110	746718-749366
ECH_1	TTHERM_000055989	1314834-1315230
ECH_1	TTHERM_00052130	1319529-1320884
ECH_1	TTHERM_00773610	191760-192654
ECH_1	TTHERM_00325590	10127-11307
ECH_1	TTHERM_00034980	1043903-1044760
ECH_1	TTHERM_00693060	289229-290154
ECH_1	TTHERM_00530510	367512-368402
ECH_1	TTHERM_00752190	95154-96238
ECH_1	TTHERM_00530450	342191-343054
ECH_1	TTHERM_00237260	755-1940
ECH_1	TTHERM_00433870	685778-686843
ECH_1	TTHERM_00263230	419294-420631
ECH_1	TTHERM_00414440	484823-490483
ECH_1	TTHERM_00214740	850595-852031
ECH_1	TTHERM_00984990	18468-20087
ECR1_N	TTHERM_00586540	4347-5611
ECR1_N	TTHERM_00354990	1380776-1381573
ECR1_N	TTHERM_01005280	127203-128733
ECR1_N	TTHERM_00441950	91793-93411
ECR1_N	TTHERM_00628580	56220-88118
ECR1_N	TTHERM_00077700	681071-685025
ECR1_N	TTHERM_00549640	22628-24260
ECR1_N	TTHERM_00075800	281079-284571
EGF	TTHERM_00283800	634413-638008
EGF	TTHERM_00734010	52830-53544
EGF	TTHERM_00455240	50999-54029
EGF	TTHERM_00289510	496823-498368
EGF	TTHERM_00733970	34750-35281
EGF	TTHERM_00219449	600646-604464
EGF	TTHERM_00257150	802343-803633
EGF	TTHERM_00503820	26845-28108
ELM2	TTHERM_00324480	617597-626973
ELM2	TTHERM_00146040	889298-890454
Elong_Iki1	TTHERM_000564159	108230-109028
Elong_Iki1	TTHERM_01109930	73994-75465
ELP6	TTHERM_000564159	108230-109028
ENT	TTHERM_00382120	416817-419126
EnY2	TTHERM_000295989	122284-122839
EnY2	TTHERM_000734139	102885-105994
EPL1	TTHERM_00557990	129573-133395
EPL1	TTHERM_00951920	135749-138029
EPL1	TTHERM_00951910	130705-132892
EPL1	TTHERM_00845830	65954-67657
EPL1	TTHERM_00469230	464759-466010
EPL1	TTHERM_00797980	138445-140042
EPL1	TTHERM_00579320	345566-348826
EXOSC1	TTHERM_00354990	1380776-1381573
EXOSC1	TTHERM_00586540	4347-5611
Exo_endo_phos	TTHERM_00794600	230718-232196
Exo_endo_phos	TTHERM_01126410	21606-23058
Exo_endo_phos	TTHERM_001080610	113957-115329
Exo_endo_phos	TTHERM_00427470	511414-512245
Exo_endo_phos	TTHERM_00316140	92862-93873
Exo_endo_phos	TTHERM_00218950	432322-433216
Exo_endo_phos	TTHERM_00427470	511414-512245
Exo_endo_phos	TTHERM_00427490	514582-515416
Exo_endo_phos	TTHERM_00660300	294000-294843
Exo_endo_phos	TTHERM_00825610	196884-198211
Exo_endo_phos	TTHERM_000931899	3138-3612
Exo_endo_phos	TTHERM_00475110	427468-429088
Exo_endo_phos	TTHERM_00088090	454717-455977
Exo_endo_phos	TTHERM_00933350	164589-165696
Exo_endo_phos	TTHERM_00564290	152761-154646
Exo_endo_phos	TTHERM_00490660	240398-244589
Exo_endo_phos	TTHERM_00548040	214366-216959
Exo_endo_phos	TTHERM_00463180	287650-289114
Exo_endo_phos	TTHERM_00586610	24606-26187
Exo_endo_phos	TTHERM_00348810	289862-294423
Exo_endo_phos	TTHERM_00016330	1800887-1802555
Exo_endo_phos	TTHERM_00481340	367589-368705
Exo_endo_phos	TTHERM_00866480	13346-14249
Exo_endo_phos	TTHERM_00348160	524930-528607
Exo_endo_phos	TTHERM_00621460	297369-299711
Exo_endo_phos	TTHERM_00163940	38588-39475
E_Pc_C	TTHERM_00289220	396755-397544
F-box	TTHERM_00548310	153489-154800
F-box	TTHERM_001055689	103331-104690
F-box	TTHERM_00474690	269129-271758
F-box	TTHERM_00522350	195101-196769
F-box	TTHERM_000790691	125833-127643
F-box	TTHERM_001121683	46763-49576
F-box	TTHERM_000989343	23475-25570
F-box	TTHERM_01043280	83441-87923
F-box	TTHERM_000336040	288209-290227
F-box	TTHERM_000222211	15042-15921
F-box	TTHERM_00433390	842037-846407
F-box	TTHERM_00402010	353882-355712
F-box	TTHERM_00047180	596235-597183
F-box	TTHERM_000035588	1273582-1274996
F-box	TTHERM_00773100	8943-10554
F-box	TTHERM_01179810	16165-22754
F-box	TTHERM_00245500	342242-345950
F-box	TTHERM_01297430	42377-43552
F-box	TTHERM_00572090	751753-755311
F-box	TTHERM_00106870	1046436-1048763
F-box	TTHERM_00037450	1646843-1649228
FACT-Spt16_Nlob	TTHERM_00283330	475298-479438
FAT	TTHERM_00147600	53796-62742
FAT	TTHERM_00147610	63494-72044
FAT	TTHERM_00865010	124988-134491
FAT	TTHERM_00518510	370464-374686
FAT	TTHERM_000778409	234682-235099
FAT	TTHERM_00657550	133320-134863
FAT	TTHERM_000079989	1173094-1176742
FAT	TTHERM_000391529	485565-487382
FAT	TTHERM_00194410	437331-445148
FAT	TTHERM_01229030	55437-61935
FAT	TTHERM_01359450	9182-10034
FAT	TTHERM_00815100	11439-14607
FAT	TTHERM_00635760	345047-346797
FAT	TTHERM_00712000	118726-120492
FAT	TTHERM_000391529	485565-487382
FAT	TTHERM_00245550	364462-365401
FAT	TTHERM_01156770	20129-20963
FAT	TTHERM_01194820	62408-63794
FAT	TTHERM_00600709	338641-340679
FATC	TTHERM_00147600	53796-62742
FATC	TTHERM_00147610	63494-72044
FATC	TTHERM_000203009	547949-549236
FATC	TTHERM_01008650	23715-31054
FATC	TTHERM_00847020	129816-133360
Fcf2	TTHERM_000444589	173933-175229
Fcf2	TTHERM_00283890	665328-666457
FHA	TTHERM_01014780	125509-127893
FHA	TTHERM_00502530	443403-445320
